GEOID,block_area,community,area_of_intersection,pct
170310101001,70182.31,ROGERS PARK,63783.21,0.909
170310101002,183283.9,ROGERS PARK,178155.38,0.972
170310101003,125979.71,ROGERS PARK,124015.23,0.984
170310102011,109039.47,ROGERS PARK,109038.92,1.0
170310102012,149190.67,ROGERS PARK,149190.67,1.0
170310102013,124872.2,ROGERS PARK,124866.8,1.0
170310102014,121273.71,ROGERS PARK,121257.59,1.0
170310102021,183486.07,ROGERS PARK,183467.22,1.0
170310102022,167708.3,ROGERS PARK,167708.3,1.0
170310103001,86884.83,ROGERS PARK,86506.26,0.996
170310103002,148989.52,ROGERS PARK,147549.66,0.99
170310103003,106943.18,ROGERS PARK,106556.76,0.996
170310103004,129626.14,ROGERS PARK,129626.14,1.0
170310104001,145264.87,ROGERS PARK,141783.37,0.976
170310104002,145493.05,ROGERS PARK,137967.04,0.948
170310104003,860411.25,ROGERS PARK,264149.56,0.307
170310105011,45257.14,ROGERS PARK,45257.14,1.0
170310105012,74550.26,ROGERS PARK,74550.26,1.0
170310105013,82292.89,ROGERS PARK,82292.89,1.0
170310105021,89891.61,ROGERS PARK,89891.61,1.0
170310105022,90463.97,ROGERS PARK,90463.97,1.0
170310105031,110018.02,ROGERS PARK,110004.46,1.0
170310105032,84162.27,ROGERS PARK,84162.27,1.0
170310106001,162202.38,ROGERS PARK,162202.38,1.0
170310106002,96306.6,ROGERS PARK,96306.6,1.0
170310106003,123132.46,ROGERS PARK,123120.97,1.0
170310106004,113289.67,ROGERS PARK,113289.67,1.0
170310107011,180098.75,ROGERS PARK,180093.31,1.0
170310107012,249519.46,ROGERS PARK,249518.49,1.0
170310107021,117618.86,ROGERS PARK,117618.86,1.0
170310107022,79454.85,ROGERS PARK,79454.85,1.0
170310107023,98706.84,ROGERS PARK,98706.84,1.0
170310107024,61706.77,ROGERS PARK,61706.77,1.0
170310201001,227896.39,ROGERS PARK,23.4,0.0
170310201002,183184.8,ROGERS PARK,29.76,0.0
170310204001,157030.2,ROGERS PARK,17.0,0.0
170310204002,212417.98,ROGERS PARK,11.6,0.0
170310204003,186030.2,ROGERS PARK,8.1,0.0
170310205001,138265.67,ROGERS PARK,5.02,0.0
170310205003,505737.79,ROGERS PARK,1.06,0.0
