neighborhood,robbery_rate_per_100k
WEST GARFIELD PARK,1546
FULLER PARK,1499
EAST GARFIELD PARK,989
NORTH LAWNDALE,983
ENGLEWOOD,797
GREATER GRAND CROSSING,772
CHATHAM,738
WEST ENGLEWOOD,732
LOOP,695
AUSTIN,649
ARMOUR SQUARE,617
SOUTH SHORE,579
BURNSIDE,564
WASHINGTON PARK,560
ROSELAND,550
CALUMET HEIGHTS,547
HUMBOLDT PARK,538
WOODLAWN,508
AUBURN GRESHAM,508
NEAR WEST SIDE,502
DOUGLAS,493
RIVERDALE,489
SOUTH CHICAGO,455
GRAND BOULEVARD,446
AVALON PARK,423
OAKLAND,416
HYDE PARK,408
CHICAGO LAWN,393
WEST PULLMAN,385
WASHINGTON HEIGHTS,384
PULLMAN,360
SOUTH DEERING,360
WEST TOWN,352
NEAR NORTH SIDE,350
KENWOOD,350
NEW CITY,337
LOWER WEST SIDE,266
ROGERS PARK,265
SOUTH LAWNDALE,241
AVONDALE,233
LOGAN SQUARE,210
GAGE PARK,208
NEAR SOUTH SIDE,200
LINCOLN PARK,190
MORGAN PARK,190
ARCHER HEIGHTS,185
UPTOWN,183
LAKE VIEW,183
BRIGHTON PARK,173
WEST ELSDON,167
ALBANY PARK,167
ASHBURN,161
HERMOSA,160
MCKINLEY PARK,158
EDGEWATER,156
WEST LAWN,148
BELMONT CRAGIN,147
WEST RIDGE,147
IRVING PARK,134
BRIDGEPORT,120
EAST SIDE,118
NORTH PARK,111
PORTAGE PARK,103
GARFIELD RIDGE,102
BEVERLY,101
HEGEWISCH,101
LINCOLN SQUARE,89
NORTH CENTER,81
MONTCLARE,76
CLEARING,72
JEFFERSON PARK,62
OHARE,51
MOUNT GREENWOOD,51
DUNNING,40
NORWOOD PARK,40
FOREST GLEN,20
EDISON PARK,9
