neighborhood,year,robbery_rate_per_100k
FULLER PARK,2019,1923
FULLER PARK,2020,1884
WEST GARFIELD PARK,2018,1849
WEST GARFIELD PARK,2020,1838
WEST GARFIELD PARK,2019,1503
EAST GARFIELD PARK,2018,1496
FULLER PARK,2018,1334
WEST GARFIELD PARK,2022,1327
WEST GARFIELD PARK,2021,1215
FULLER PARK,2021,1177
FULLER PARK,2022,1177
NORTH LAWNDALE,2018,1099
NORTH LAWNDALE,2020,1084
EAST GARFIELD PARK,2019,1046
NORTH LAWNDALE,2019,991
BURNSIDE,2018,954
EAST GARFIELD PARK,2020,944
ENGLEWOOD,2019,907
WEST ENGLEWOOD,2018,894
NORTH LAWNDALE,2021,874
NORTH LAWNDALE,2022,868
ARMOUR SQUARE,2022,856
LOOP,2018,854
ARMOUR SQUARE,2021,842
ENGLEWOOD,2018,832
ENGLEWOOD,2020,820
GREATER GRAND CROSSING,2022,815
AUSTIN,2018,814
WASHINGTON PARK,2018,807
LOOP,2022,803
WEST ENGLEWOOD,2020,793
CHATHAM,2019,785
ENGLEWOOD,2022,783
GREATER GRAND CROSSING,2018,780
GREATER GRAND CROSSING,2021,777
EAST GARFIELD PARK,2021,771
CHATHAM,2018,763
CHATHAM,2022,760
WEST ENGLEWOOD,2022,756
BURNSIDE,2019,755
GREATER GRAND CROSSING,2020,745
GREATER GRAND CROSSING,2019,741
CALUMET HEIGHTS,2022,734
CHATHAM,2020,722
RIVERDALE,2018,719
WEST ENGLEWOOD,2019,719
CALUMET HEIGHTS,2021,711
AUSTIN,2020,706
LOOP,2019,691
EAST GARFIELD PARK,2022,689
AUBURN GRESHAM,2018,678
HUMBOLDT PARK,2022,678
ROSELAND,2018,665
CHATHAM,2021,659
CALUMET HEIGHTS,2020,650
DOUGLAS,2018,642
ENGLEWOOD,2021,642
HUMBOLDT PARK,2018,635
LOOP,2021,634
AUSTIN,2019,633
WOODLAWN,2019,604
GRAND BOULEVARD,2018,603
WASHINGTON PARK,2022,601
SOUTH SHORE,2021,599
BURNSIDE,2021,596
SOUTH SHORE,2022,595
RIVERDALE,2022,594
SOUTH SHORE,2018,591
SOUTH SHORE,2019,585
OAKLAND,2021,583
AUBURN GRESHAM,2019,582
WOODLAWN,2018,577
NEAR WEST SIDE,2022,569
AVALON PARK,2021,558
AUSTIN,2021,552
ROSELAND,2022,548
NEAR WEST SIDE,2018,542
AUSTIN,2022,541
HYDE PARK,2022,541
HUMBOLDT PARK,2020,536
ROSELAND,2019,527
SOUTH SHORE,2020,525
WOODLAWN,2022,523
WASHINGTON PARK,2019,522
ROSELAND,2020,519
SOUTH CHICAGO,2018,517
ARMOUR SQUARE,2019,515
RIVERDALE,2020,511
AUBURN GRESHAM,2022,507
WASHINGTON HEIGHTS,2022,506
WEST ENGLEWOOD,2021,499
CHICAGO LAWN,2018,499
SOUTH CHICAGO,2022,495
NEAR WEST SIDE,2021,495
LOOP,2020,494
ROSELAND,2021,493
ARMOUR SQUARE,2020,486
DOUGLAS,2019,483
KENWOOD,2021,480
GRAND BOULEVARD,2022,480
DOUGLAS,2021,477
NEAR WEST SIDE,2019,471
DOUGLAS,2020,466
WEST TOWN,2022,466
HYDE PARK,2018,462
SOUTH CHICAGO,2021,457
NEW CITY,2022,451
SOUTH CHICAGO,2019,450
WEST PULLMAN,2018,446
WOODLAWN,2020,445
HUMBOLDT PARK,2021,442
PULLMAN,2022,439
PULLMAN,2021,439
WASHINGTON PARK,2021,435
WASHINGTON PARK,2020,435
