community_area,median_household_income,total_population,total_housing_units
ALBANY PARK,75431,47196,18311
ARCHER HEIGHTS,57722,14233,4424
ARMOUR SQUARE,58845,13784,6067
ASHBURN,69842,40655,13433
AUBURN GRESHAM,50859,44807,20687
AUSTIN,53476,95596,39522
AVALON PARK,56061,9323,4509
AVONDALE,90728,36108,15937
BELMONT CRAGIN,63426,77926,24893
BEVERLY,110441,19893,8091
BRIDGEPORT,66791,33561,14569
BRIGHTON PARK,52725,45058,14829
BURNSIDE,53004,2517,1187
CALUMET HEIGHTS,69633,13084,6021
CHATHAM,51067,31854,17225
CHICAGO LAWN,48256,55894,18994
CLEARING,68025,24508,9284
DOUGLAS,54837,17599,10440
DUNNING,82101,42936,16381
EAST GARFIELD PARK,39135,19590,8988
EAST SIDE,57667,21507,7611
EDGEWATER,67210,48181,29550
EDISON PARK,130664,11523,4959
ENGLEWOOD,37194,24152,12606
FOREST GLEN,119864,19524,7263
FULLER PARK,43525,2548,1466
GAGE PARK,49766,39483,10886
GARFIELD RIDGE,82315,35101,12758
GRAND BOULEVARD,48725,24370,12731
GREATER GRAND CROSSING,46828,31026,15643
HEGEWISCH,67841,9909,4018
HERMOSA,62026,24086,8151
HUMBOLDT PARK,59828,53567,21109
HYDE PARK,68791,24048,15005
IRVING PARK,85040,51581,22869
JEFFERSON PARK,95072,26188,11176
KENWOOD,61040,15416,8981
LAKE VIEW,104265,100492,60264
LINCOLN PARK,136691,65209,36775
LINCOLN SQUARE,91105,39887,20393
LOGAN SQUARE,95656,71378,34761
LOOP,122006,37217,27418
LOWER WEST SIDE,64812,33471,15651
MCKINLEY PARK,68292,15904,5998
MONTCLARE,73414,14289,5251
MORGAN PARK,74477,20839,8963
MOUNT GREENWOOD,105492,18281,7299
NEAR NORTH SIDE,123121,99031,73915
NEAR SOUTH SIDE,93189,27439,16909
NEAR WEST SIDE,87453,63637,37343
NEW CITY,45358,43222,15918
NORTH CENTER,141891,35075,15943
NORTH LAWNDALE,42017,34217,15193
NORTH PARK,74737,17344,7089
NORWOOD PARK,99467,38147,16105
OAKLAND,47443,5486,2749
OHARE,73009,14407,6944
PORTAGE PARK,82175,62929,25136
PULLMAN,54869,6835,3509
RIVERDALE,32041,7236,2796
ROGERS PARK,56315,51050,27758
ROSELAND,52599,38343,17416
SOUTH CHICAGO,51588,26685,13359
SOUTH DEERING,53023,14108,5934
SOUTH LAWNDALE,46258,66376,22112
SOUTH SHORE,47809,50113,28119
UPTOWN,67894,54150,34408
WASHINGTON HEIGHTS,64511,24924,10459
WASHINGTON PARK,37306,12644,5985
WEST ELSDON,60468,18232,5488
WEST ENGLEWOOD,35982,29632,12472
WEST GARFIELD PARK,39444,17033,7744
WEST LAWN,71591,33508,9681
WEST PULLMAN,59607,25777,10821
WEST RIDGE,67294,75527,28248
WEST TOWN,116123,87399,46254
WOODLAWN,36424,22009,11833
