B19013_001E,state,county,tract,block group
76797,17,031,010100,1
22179,17,031,010100,2
67371,17,031,010100,3
58068,17,031,010201,1
41936,17,031,010201,2
26622,17,031,010201,3
58500,17,031,010201,4
31442,17,031,010202,1
66133,17,031,010202,2
63175,17,031,010300,1
51250,17,031,010300,2
61172,17,031,010300,3
64341,17,031,010300,4
53750,17,031,010400,1
-666666666,17,031,010400,2
-666666666,17,031,010400,3
-666666666,17,031,010501,1
51136,17,031,010501,2
54980,17,031,010501,3
55820,17,031,010502,1
47222,17,031,010502,2
13781,17,031,010503,1
19627,17,031,010503,2
76397,17,031,010600,1
110375,17,031,010600,2
53786,17,031,010600,3
39350,17,031,010600,4
42604,17,031,010701,1
74514,17,031,010701,2
43466,17,031,010702,1
47660,17,031,010702,2
51250,17,031,010702,3
48922,17,031,010702,4
71282,17,031,020100,1
39352,17,031,020100,2
107614,17,031,020200,1
87500,17,031,020200,2
113882,17,031,020200,3
130890,17,031,020200,4
61214,17,031,020301,1
47264,17,031,020301,2
79167,17,031,020301,3
77188,17,031,020302,1
89542,17,031,020302,2
77755,17,031,020302,3
-666666666,17,031,020400,1
54420,17,031,020400,2
63317,17,031,020400,3
38571,17,031,020500,1
67361,17,031,020500,2
31477,17,031,020500,3
-666666666,17,031,020500,4
105177,17,031,020601,1
56303,17,031,020601,2
47596,17,031,020601,3
58674,17,031,020602,1
70528,17,031,020602,2
68446,17,031,020602,3
-666666666,17,031,020602,4
55694,17,031,020701,1
108017,17,031,020701,2
39259,17,031,020702,1
49836,17,031,020702,2
56768,17,031,020702,3
80903,17,031,020702,4
53400,17,031,020801,1
80213,17,031,020801,2
59426,17,031,020801,3
46518,17,031,020801,4
104219,17,031,020802,1
81191,17,031,020802,2
54091,17,031,020802,3
29226,17,031,020802,4
41383,17,031,020901,1
48389,17,031,020901,2
56991,17,031,020901,3
38560,17,031,020902,1
48875,17,031,020902,2
33393,17,031,030101,1
23469,17,031,030101,2
33801,17,031,030101,3
106917,17,031,030101,4
61938,17,031,030102,1
43285,17,031,030102,2
60766,17,031,030102,3
64081,17,031,030103,1
52246,17,031,030103,2
44976,17,031,030104,1
26154,17,031,030104,2
74931,17,031,030200,1
70250,17,031,030200,2
187660,17,031,030200,3
93503,17,031,030200,4
61250,17,031,030300,1
51519,17,031,030300,2
71111,17,031,030400,1
101012,17,031,030400,2
115476,17,031,030500,1
107500,17,031,030500,2
107841,17,031,030500,3
87933,17,031,030500,4
54181,17,031,030601,1
-666666666,17,031,030601,2
35213,17,031,030601,3
51250,17,031,030603,1
44531,17,031,030603,2
57219,17,031,030604,1
68672,17,031,030604,2
16542,17,031,030604,3
40357,17,031,030701,1
67209,17,031,030702,1
57375,17,031,030702,2
-666666666,17,031,030703,1
14253,17,031,030703,2
79861,17,031,030703,3
42264,17,031,030706,1
85689,17,031,030706,2
49185,17,031,030800,1
100292,17,031,030800,2
94375,17,031,030800,3
90378,17,031,030800,4
98214,17,031,030900,1
76417,17,031,030900,2
-666666666,17,031,030900,3
98750,17,031,030900,4
113140,17,031,031000,1
108885,17,031,031000,2
81974,17,031,031000,3
89705,17,031,031100,1
63615,17,031,031100,2
72860,17,031,031100,3
57717,17,031,031200,1
35710,17,031,031200,2
14610,17,031,031200,3
-666666666,17,031,031200,4
40030,17,031,031300,1
59916,17,031,031300,2
93552,17,031,031300,3
62734,17,031,031300,4
58888,17,031,031300,5
79881,17,031,031400,1
79167,17,031,031400,2
64375,17,031,031400,3
82875,17,031,031400,4
74097,17,031,031400,5
24070,17,031,031501,1
44090,17,031,031501,2
47500,17,031,031501,3
49087,17,031,031502,1
40051,17,031,031502,2
20697,17,031,031502,3
59226,17,031,031700,1
72917,17,031,031700,2
74620,17,031,031700,3
80995,17,031,031700,4
76921,17,031,031800,1
78750,17,031,031900,1
102656,17,031,031900,2
74143,17,031,032100,1
73125,17,031,032100,2
77396,17,031,032100,3
31032,17,031,032100,4
119485,17,031,032100,5
94464,17,031,040100,1
66326,17,031,040100,2
114565,17,031,040100,3
108408,17,031,040201,1
61140,17,031,040201,2
91676,17,031,040201,3
105714,17,031,040201,4
-666666666,17,031,040202,1
55465,17,031,040202,2
43160,17,031,040202,3
47524,17,031,040202,4
139500,17,031,040300,1
66711,17,031,040300,2
111964,17,031,040300,3
111944,17,031,040401,1
180938,17,031,040401,2
91940,17,031,040401,3
112578,17,031,040401,4
