H1_001N,H8_001N,state,county,tract,block group
798,1340,17,031,063400,1
945,1172,17,031,063302,4
455,446,17,031,063303,1
657,820,17,031,063303,2
626,1077,17,031,063400,2
906,1218,17,031,070101,1
829,1256,17,031,070101,2
1390,1697,17,031,070101,3
1153,1565,17,031,070102,1
471,673,17,031,070102,2
590,783,17,031,070102,3
661,886,17,031,070103,1
767,959,17,031,070103,2
1008,1864,17,031,070200,1
720,1174,17,031,070200,2
774,1041,17,031,070200,3
1091,2167,17,031,070300,1
1055,1973,17,031,070300,2
819,1253,17,031,070400,1
432,944,17,031,070400,2
487,1053,17,031,070400,3
549,1089,17,031,070500,1
458,911,17,031,070500,2
484,1153,17,031,070500,3
879,1919,17,031,070600,1
671,1530,17,031,070600,2
1100,2520,17,031,070700,1
863,1176,17,031,070700,2
305,779,17,031,071000,1
934,1987,17,031,071000,2
628,1358,17,031,071100,1
661,1309,17,031,071100,2
1032,1815,17,031,071200,1
620,1158,17,031,071200,2
911,1847,17,031,071300,1
1258,2046,17,031,071300,2
545,871,17,031,071400,1
1245,1687,17,031,071400,2
1182,1570,17,031,071400,3
410,662,17,031,071400,4
802,1257,17,031,071500,1
253,678,17,031,811200,5
560,1579,17,031,811200,2
349,977,17,031,811200,3
452,1182,17,031,811200,4
521,1223,17,031,811301,1
257,901,17,031,811301,2
364,1274,17,031,811301,3
453,1374,17,031,811301,4
384,1239,17,031,811302,1
919,2322,17,031,811302,2
286,893,17,031,811401,1
315,1038,17,031,811401,2
367,1057,17,031,811401,3
354,920,17,031,811401,4
481,1091,17,031,811401,5
483,1345,17,031,811402,1
584,1647,17,031,811402,2
533,1565,17,031,811402,3
611,1743,17,031,811500,1
542,1629,17,031,811500,2
398,1225,17,031,811500,3
515,1427,17,031,811500,4
775,1596,17,031,811600,1
574,1468,17,031,811600,2
608,1459,17,031,811600,3
568,1526,17,031,811600,4
688,2269,17,031,811701,1
504,1186,17,031,811701,2
596,1199,17,031,811702,1
620,1821,17,031,811702,2
706,2364,17,031,811702,3
284,965,17,031,811800,1
369,928,17,031,811800,2
500,1620,17,031,811800,3
540,1628,17,031,811800,4
472,1069,17,031,811900,1
409,924,17,031,811900,2
418,1375,17,031,811900,3
670,1748,17,031,811900,4
331,769,17,031,812000,1
367,1046,17,031,814700,3
353,1030,17,031,814600,5
376,1105,17,031,814700,1
345,1001,17,031,814700,2
433,1263,17,031,814700,4
474,1124,17,031,814700,5
754,2022,17,031,814800,1
608,1551,17,031,814800,2
363,1013,17,031,814800,3
330,1056,17,031,814800,4
288,791,17,031,814800,5
450,1262,17,031,814900,1
701,1692,17,031,814900,2
1074,2155,17,031,814900,3
608,1448,17,031,814900,4
460,1454,17,031,815000,1
353,1068,17,031,815000,2
654,1722,17,031,815000,3
375,1181,17,031,815100,1
439,1249,17,031,815100,2
608,1869,17,031,815100,3
540,1748,17,031,815200,1
414,1212,17,031,815200,2
520,1405,17,031,815200,3
419,1112,17,031,815200,4
538,1424,17,031,815200,5
327,974,17,031,815300,1
351,1007,17,031,815300,2
465,1321,17,031,815500,6
303,900,17,031,815500,7
340,1171,17,031,835100,3
328,1025,17,031,835000,5
435,1477,17,031,835100,1
395,1376,17,031,835100,2
381,1552,17,031,835100,4
743,2038,17,031,835200,1
529,704,17,031,835500,1
391,877,17,031,835500,2
268,420,17,031,835600,1
251,475,17,031,835600,2
889,1698,17,031,835800,1
389,819,17,031,836000,1
361,731,17,031,836000,2
358,788,17,031,836000,3
412,694,17,031,836100,1
580,1177,17,031,836100,2
175,357,17,031,836200,1
333,639,17,031,836300,1
428,835,17,031,836300,2
765,1385,17,031,836400,1
519,1036,17,031,836400,2
615,1200,17,031,836400,3
381,764,17,031,836500,1
361,763,17,031,836500,2
